odist			pdist			force			mass			E0          			E(osz) 			E(CC)  			E(Lad.-Quadr.) 		E(QQ)			
0.0			0.12			1.0			1.0			2.323891412736335	0.5			8.333333333333334	578.7037037037038	241126.54320987657	
0.0			0.125			1.0			1.0			2.3153078753616434	0.5			8.0			512.0			196608.0		
0.0			0.13			1.0			1.0			2.3070236900441183	0.5			7.692307692307692	455.1661356395084	161597.4446057426	
0.0			0.135			1.0			1.0			2.2990405931558224	0.5			7.4074074074074066	406.44210740232677	133808.1012024121	
0.0			0.14			1.0			1.0			2.291359465361059	0.5			7.142857142857142	364.43148688046637	111560.65924912233	
0.0			0.145			1.0			1.0			2.283980923513485	0.5			6.8965517241379315	328.0167288531716	93607.62773455551	
0.0			0.15			1.0			1.0			2.2769057636201744	0.5			6.666666666666667	296.29629629629636	79012.34567901236	
0.0			0.155			1.0			1.0			2.2701353068625143	0.5			6.451612903225807	268.53747776174015	67064.51057525247	
0.0			0.16			1.0			1.0			2.2636716869334106	0.5			6.25			244.14062499999997	57220.45898437499	
0.0			0.165			1.0			1.0			2.257518107632459	0.5			6.0606060606060606	222.6117928597267	49060.45021701966	
0.0			0.17			1.0			1.0			2.2516790937367905	0.5			5.88235294117647	203.5416242621616	42257.77666342454	
0.0			0.175			1.0			1.0			2.24616075483312	0.5			5.714285714285714	186.58892128279888	36556.196822752434	
0.0			0.18			1.0			1.0			2.2409710806093255	0.5			5.555555555555555	171.46776406035667	31753.289640806794	
0.0			0.185			1.0			1.0			2.2361202867838568	0.5			5.405405405405405	157.9373383610053	27688.065161900126	
0.0			0.19			1.0			1.0			2.2316212334249252	0.5			5.2631578947368425	145.79384749963552	24231.66440437155	
0.0			0.195			1.0			1.0			2.227489942078405	0.5			5.128205128205128	134.86404018948397	21280.321923389973	
0.0			0.2			1.0			1.0			2.2237462454214754	0.5			5.0			124.99999999999999	18749.999999999993	
0.0			0.205			1.0			1.0			2.2204146139301417	0.5			4.878048780487805	116.0749263649686	16572.267892678447	
0.0			0.21			1.0			1.0			2.217525219701226	0.5			4.761904761904762	107.97969981643452	14691.11562128361	
0.0			0.215			1.0			1.0			2.2151153202099665	0.5			4.651162790697675	100.62007118870036	13060.474356564679	
0.0			0.22			1.0			1.0			2.213231077721476	0.5			4.545454545454546	93.91435011269722	11642.27480735916	
0.0			0.225			1.0			1.0			2.2119299783375608	0.5			4.444444444444445	87.7914951989026	10404.917949499566	
0.0			0.23			1.0			1.0			2.2112840860749987	0.5			4.3478260869565215	82.18952905399851	9322.06378684293	
0.0			0.235			1.0			1.0			2.2113844740133763	0.5			4.25531914893617	77.05421727362918	8371.666883508828	
0.0			0.24			1.0			1.0			2.202577687985705	0.5			4.166666666666667	72.33796296296298	7535.204475308643	
0.0			0.245			1.0			1.0			2.193350445942363	0.5			4.081632653061225	67.9988780185127	6797.055695311556	
0.0			0.25			1.0			1.0			2.1843665624413204	0.5			4.0			64.0			6144.0			
0.0			0.255			1.0			1.0			2.175621017602344	0.5			3.9215686274509802	60.30862941101085	5564.810095595003	
0.0			0.26			1.0			1.0			2.167109713269659	0.5			3.846153846153846	56.89576695493855	5049.920143929457	
0.0			0.265			1.0			1.0			2.1588293732970762	0.5			3.773584905660377	53.73563411406732	4591.154214089054	
0.0			0.27			1.0			1.0			2.1507774662930808	0.5			3.7037037037037033	50.805263425290846	4181.503162575378	
0.0			0.275			1.0			1.0			2.1429521492759593	0.5			3.6363636363636362	48.08414725770097	3814.9406088754477	
0.0			0.28			1.0			1.0			2.1353522306771833	0.5			3.571428571428571	45.553935860058296	3486.2706015350727	
0.0			0.285			1.0			1.0			2.1279771514120616	0.5			3.5087719298245617	43.19817703692906	3191.001073826708	
